Date,Shadow Value,Market Value,Equity Curve
2008-04-03,20297.38,21448.22,22228.73
2008-04-10,20196.40,21448.22,22162.28
2008-04-17,20521.66,21448.22,22097.73
2008-04-24,20978.58,21448.22,22046.85
2008-05-01,21156.40,21448.22,21991.76
2008-05-08,20827.92,21448.22,21932.23
2008-05-15,21001.04,21448.22,21869.25
2008-05-22,20755.50,21448.22,21813.97
2008-05-29,20629.76,21448.22,21743.75
2008-06-05,20634.74,21448.22,21667.19
2008-06-12,19660.44,21448.22,21580.31
2008-06-19,19655.12,21448.22,21486.73
2008-06-26,18826.80,21448.22,21364.07
2008-07-03,18420.42,21448.22,21237.89
2008-07-10,18560.06,21448.22,21136.63
2008-07-17,18653.56,21448.22,21036.66
2008-07-24,18744.04,21448.22,20946.05
2008-07-31,18618.82,21448.22,20881.95
2008-08-07,17820.74,21448.22,20777.02
2008-08-14,17562.38,21448.22,20697.19
2008-08-21,17210.30,21448.22,20602.08
2008-08-28,17181.02,21448.22,20500.73
2008-09-04,16324.44,21448.22,20377.63
2008-09-11,16315.22,21448.22,20255.20
2008-09-18,15757.34,21448.22,20114.63
2008-09-25,16326.14,21448.22,19978.30
2008-10-02,14973.62,21448.22,19818.70
2008-10-09,13208.68,21448.22,19631.39
2008-10-16,13223.96,21448.22,19438.10
2008-10-23,12309.96,21448.22,19238.46
2008-10-30,12621.34,21448.22,19049.94
2008-11-06,12177.36,21448.22,18863.87
2008-11-13,12749.14,21448.22,18669.33
2008-11-20,11026.10,21448.22,18428.09
2008-11-26,12314.66,21448.22,18244.82
2008-12-04,11749.60,21448.22,18066.45
2008-12-11,12363.62,21448.22,17889.38
2008-12-18,12953.85,21448.22,17721.48
2008-12-24,12846.85,21448.22,17542.24
2008-12-31,13503.07,21448.22,17408.99
2009-01-08,13483.30,21448.22,17275.02
2009-01-15,12646.96,21448.22,17117.04
2009-01-22,12239.26,21448.22,16960.24
2009-01-29,12205.48,21448.22,16795.26
2009-02-05,12212.49,21448.22,16633.36
2009-02-12,12044.89,21448.22,16462.88
2009-02-19,11519.11,21448.22,16303.78
2009-02-26,11187.45,21448.22,16143.32
2009-03-05,10682.25,21448.22,15974.63
2009-03-12,10966.95,21448.22,15796.92
2009-03-19,11504.68,21448.22,15621.07
2009-03-26,12208.21,21448.22,15461.31
2009-04-02,12446.90,21448.22,15299.81
2009-04-09,12664.20,21448.22,15133.52
2009-04-16,12937.18,21448.22,14969.14
2009-04-23,12973.57,21448.22,14812.05
2009-04-30,13151.88,21448.22,14655.07
2009-05-07,13801.80,21448.22,14515.99
2009-05-14,13728.64,21448.22,14377.97
2009-05-21,13976.42,21448.22,14244.81
2009-05-28,14485.25,21448.22,14141.30
2009-06-04,21822.11,21822.11,14184.64
2009-06-11,21937.48,21937.48,14246.85
2009-06-18,21208.25,21208.25,14302.61
2009-06-25,21797.34,21797.34,14367.36
2009-07-02,21750.11,21750.11,14429.29
2009-07-09,21343.16,21343.16,14481.27
2009-07-16,22234.82,22234.82,14553.59
2009-07-23,23067.10,23067.10,14658.52
2009-07-30,23121.01,23121.01,14769.69
2009-08-06,23885.62,23885.62,14903.20
2009-08-13,24117.54,24117.54,15041.93
2009-08-20,24012.70,24012.70,15195.69
2009-08-27,24633.38,24633.38,15362.06
2009-09-03,24247.26,24247.26,15531.85
2009-09-10,25344.59,25344.59,15712.22
2009-09-17,25548.99,25548.99,15923.73
2009-09-24,25295.91,25295.91,16165.48
2009-10-01,24758.20,24758.20,16396.16
2009-10-08,25856.19,25856.19,16667.08
2009-10-15,26458.88,26458.88,16943.84
2009-10-22,26506.91,26506.91,17230.43
2009-10-29,25517.58,25517.58,17485.79
2009-11-05,25547.23,25547.23,17776.22
2009-11-12,25577.42,25577.42,18041.47
2009-11-19,25611.29,25611.29,18318.71
2009-11-25,26072.08,26072.08,18592.88
2009-12-03,26428.85,26428.85,18862.38
2009-12-10,25838.30,25838.30,19122.20
2009-12-17,25539.31,25539.31,19362.93
2009-12-24,25767.03,25767.03,19608.60
2009-12-31,25546.81,25546.81,19866.60
2010-01-07,26589.76,26589.76,20153.61
2010-01-14,27230.90,27230.90,20454.12
2010-01-21,26172.09,26172.09,20733.31
2010-01-28,25623.21,25623.21,21004.88
2010-02-04,25077.09,25077.09,21276.04
2010-02-11,25286.41,25286.41,21558.02
2010-02-18,25645.22,25645.22,21857.28
2010-02-25,25424.95,25424.95,22146.44
2010-03-04,26059.21,26059.21,22437.53
2010-03-11,26743.83,26743.83,22728.24
2010-03-18,26855.65,26855.65,23016.41
2010-03-25,26546.31,26546.31,23294.06
2010-04-01,27511.53,27511.53,23585.54
2010-04-08,27546.82,27546.82,23877.01
2010-04-15,27970.84,27970.84,24173.39
2010-04-22,27320.07,27320.07,24443.75
2010-04-29,27066.09,27066.09,24710.50
2010-05-06,25247.80,25247.80,24935.93
2010-05-13,26297.49,26297.49,25172.17
2010-05-20,24688.64,24688.64,25229.51
2010-05-27,25103.80,24658.64,25292.83
2010-06-03,25037.86,24658.64,25369.42
2010-06-10,24985.05,24658.64,25433.18
2010-06-17,25663.66,24658.64,25511.45
2010-06-24,24374.18,24374.18,25572.07
2010-07-01,24064.24,24344.18,25608.66
2010-07-08,25051.30,24344.18,25648.34
2010-07-15,25149.42,24344.18,25688.91
2010-07-22,25109.44,24344.18,25713.39
2010-07-29,25564.46,24344.18,25742.32
2010-08-05,25957.38,24344.18,25781.22
2010-08-12,23492.70,23492.70,25758.40
2010-08-19,24114.40,23462.70,25755.75
2010-08-26,24008.24,23462.70,25729.02
2010-09-02,24887.58,23462.70,25715.79
2010-09-09,25121.76,23462.70,25712.31
2010-09-16,25484.12,23462.70,25726.83
2010-09-23,25401.24,23462.70,25717.73
2010-09-30,25812.34,23462.70,25704.80
2010-10-07,24003.65,24003.65,25654.73
2010-10-14,24534.97,23973.65,25635.08
2010-10-21,24327.56,23973.65,25610.69
2010-10-28,24175.26,23973.65,25582.64
2010-11-04,25041.15,23973.65,25571.24
2010-11-11,24622.05,23973.65,25542.24
2010-11-18,24572.99,23973.65,25505.12
2010-11-24,23959.74,23973.65,25467.55
2010-12-02,24279.11,23973.65,25442.35
2010-12-09,24240.78,23973.65,25411.82
2010-12-16,24178.12,23973.65,25384.45
2010-12-23,24235.29,23973.65,25337.36
2010-12-30,24672.11,23973.65,25286.18
2011-01-06,24723.63,23973.65,25257.21
2011-01-13,25122.29,23973.65,25247.20
2011-01-20,24898.26,23973.65,25243.62
2011-01-27,25338.09,23973.65,25244.65
2011-02-03,24024.18,24024.18,25212.23
2011-02-10,23769.57,23994.18,25179.12
2011-02-17,24068.05,23994.18,25139.30
2011-02-24,23423.14,23994.18,25072.89
2011-03-03,24065.19,23994.18,25017.08
2011-03-10,23514.44,23994.18,24956.44
2011-03-17,22351.05,23994.18,24853.23
2011-03-24,23524.44,23994.18,24772.78
2011-03-31,23506.98,23994.18,24683.51
2011-04-07,23532.64,23994.18,24607.76
2011-04-14,23853.26,23994.18,24543.50
2011-04-21,24323.34,23994.18,24525.01
2011-04-28,24873.23,23994.18,24496.53
2011-05-05,23288.64,23288.64,24468.53
2011-05-12,23702.50,23258.64,24440.50
2011-05-19,23480.23,23258.64,24409.35
2011-05-26,23210.76,23258.64,24373.86
2011-06-02,23517.43,23258.64,24330.94
2011-06-09,23380.80,23258.64,24311.07
2011-06-16,22869.53,23258.64,24287.18
2011-06-23,23205.43,23258.64,24250.26
2011-06-30,23940.03,23258.64,24226.07
2011-07-07,24322.43,23258.64,24210.33
2011-07-14,22699.06,22699.06,24153.02
2011-07-21,23238.85,22669.06,24098.65
2011-07-28,23182.65,22669.06,24092.45
2011-08-04,21681.11,22669.06,24043.79
2011-08-11,21004.98,22669.06,23983.72
2011-08-18,20811.52,22669.06,23902.20
2011-08-25,20555.53,22669.06,23810.87
2011-09-01,21209.06,22669.06,23725.37
2011-09-08,20946.25,22669.06,23636.27
2011-09-15,20436.75,22669.06,23528.76
2011-09-22,18485.89,22669.06,23418.41
2011-09-29,19114.41,22669.06,23310.00
2011-10-06,19177.01,22669.06,23206.98
2011-10-13,20094.01,22669.06,23125.36
2011-10-20,20038.45,22669.06,23025.31
2011-10-27,21661.62,22669.06,22966.10
2011-11-03,20960.64,22669.06,22893.85
2011-11-10,20350.49,22669.06,22821.67
2011-11-17,19868.24,22669.06,22733.45
2011-11-23,19002.26,22669.06,22628.68
2011-12-01,20437.63,22669.06,22553.87
2011-12-08,19892.31,22669.06,22467.01
2011-12-15,19541.70,22669.06,22364.40
2011-12-22,20172.24,22669.06,22273.37
2011-12-29,20177.29,22669.06,22174.47
2012-01-05,20558.04,22669.06,22087.67
2012-01-12,20729.86,22669.06,21995.50
2012-01-19,21182.34,22669.06,21938.67
2012-01-26,21650.44,22669.06,21896.28
2012-02-02,22012.16,22669.06,21855.17
2012-02-09,22984.68,22984.68,21846.40
2012-02-16,22979.82,22979.82,21824.69
2012-02-23,23214.08,23214.08,21818.68
2012-03-01,23472.36,23472.36,21841.11
2012-03-08,23413.38,23413.38,21838.89
2012-03-15,23458.14,23458.14,21837.91
2012-03-22,23349.68,23349.68,21834.25
